Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
word,1.4,1.35,1.35,0.1756,0.3549,0.0998,0.731,,,0.1514,,
iou,1.4,0.75,0.75,0.1754,0.3441,0.0998,0.7204,,,0.1397,0.0653,31.17
iou_word_sep,1.4,0.75,0.75,0.1754,0.3441,0.0998,0.7204,,,0.1397,0.0599,
window,1.4,0.75,0.75,0.1754,0.3441,0.0998,0.7204,0.3717,0.4583,,,
word,1.4,0.75,0.75,0.1754,0.3441,0.0998,0.7204,,,0.1397,,
iou,1.4,40.0%,0.4,0.1743,0.3437,0.099,0.7257,,,0.1626,0.0673,34.63
iou_word_sep,1.4,40.0%,0.4,0.1743,0.3437,0.099,0.7257,,,0.1626,0.0754,
window,1.4,40.0%,0.4,0.1743,0.3437,0.099,0.7257,0.376,0.4637,,,
word,1.4,40.0%,0.4,0.1743,0.3437,0.099,0.7257,,,0.1626,,
iou,1.4,10.0%,0.1,0.1735,0.341,0.0985,0.7256,,,0.1442,0.0455,55.12
iou_word_sep,1.4,10.0%,0.1,0.1735,0.341,0.0985,0.7256,,,0.1442,0.0538,
window,1.4,10.0%,0.1,0.1735,0.341,0.0985,0.7256,0.3477,0.4468,,,
word,1.4,10.0%,0.1,0.1735,0.341,0.0985,0.7256,,,0.1442,,
iou,1.4,80.0%,0.8,0.1734,0.3434,0.0986,0.719,,,0.1533,0.0699,28.91
iou_word_sep,1.4,80.0%,0.8,0.1734,0.3434,0.0986,0.719,,,0.1533,0.069,
window,1.4,80.0%,0.8,0.1734,0.3434,0.0986,0.719,0.3845,0.4669,,,
word,1.4,80.0%,0.8,0.1734,0.3434,0.0986,0.719,,,0.1533,,
iou,1.4,1.3,1.3,0.1732,0.331,0.0981,0.7361,,,0.1456,0.0644,22.83
iou_word_sep,1.4,1.3,1.3,0.1732,0.331,0.0981,0.7361,,,0.1456,0.0634,
window,1.4,1.3,1.3,0.1732,0.331,0.0981,0.7361,0.321,0.4302,,,
word,1.4,1.3,1.3,0.1732,0.331,0.0981,0.7361,,,0.1456,,
iou,1.4,0.85,0.85,0.1731,0.3395,0.098,0.7403,,,0.1313,0.0744,33.48
iou_word_sep,1.4,0.85,0.85,0.1731,0.3395,0.098,0.7403,,,0.1313,0.0688,
window,1.4,0.85,0.85,0.1731,0.3395,0.098,0.7403,0.3467,0.4612,,,
word,1.4,0.85,0.85,0.1731,0.3395,0.098,0.7403,,,0.1313,,
iou,1.4,1.0,1.0,0.1728,0.3425,0.0982,0.7201,,,0.145,0.0641,29.22
iou_word_sep,1.4,1.0,1.0,0.1728,0.3425,0.0982,0.7201,,,0.145,0.0665,
window,1.4,1.0,1.0,0.1728,0.3425,0.0982,0.7201,0.3713,0.4599,,,
word,1.4,1.0,1.0,0.1728,0.3425,0.0982,0.7201,,,0.145,,
iou,1.4,1.1,1.1,0.1727,0.3413,0.0979,0.7344,,,0.151,0.0685,27.24
iou_word_sep,1.4,1.1,1.1,0.1727,0.3413,0.0979,0.7344,,,0.151,0.0711,
window,1.4,1.1,1.1,0.1727,0.3413,0.0979,0.7344,0.3442,0.456,,,
word,1.4,1.1,1.1,0.1727,0.3413,0.0979,0.7344,,,0.151,,
iou,1.4,0.8,0.8,0.1723,0.3421,0.0979,0.7167,,,0.1355,0.0711,32.65
iou_word_sep,1.4,0.8,0.8,0.1723,0.3421,0.0979,0.7167,,,0.1355,0.0671,
window,1.4,0.8,0.8,0.1723,0.3421,0.0979,0.7167,0.3521,0.4619,,,
word,1.4,0.8,0.8,0.1723,0.3421,0.0979,0.7167,,,0.1355,,
iou,1.4,0.9,0.9,0.1718,0.3455,0.0978,0.7088,,,0.1419,0.0735,31.42
iou_word_sep,1.4,0.9,0.9,0.1718,0.3455,0.0978,0.7088,,,0.1419,0.0742,
window,1.4,0.9,0.9,0.1718,0.3455,0.0978,0.7088,0.3574,0.4622,,,
word,1.4,0.9,0.9,0.1718,0.3455,0.0978,0.7088,,,0.1419,,
iou,1.4,1.05,1.05,0.1716,0.3435,0.0975,0.713,,,0.1441,0.075,30.02
iou_word_sep,1.4,1.05,1.05,0.1716,0.3435,0.0975,0.713,,,0.1441,0.075,
window,1.4,1.05,1.05,0.1716,0.3435,0.0975,0.713,0.3587,0.4623,,,
word,1.4,1.05,1.05,0.1716,0.3435,0.0975,0.713,,,0.1441,,
iou,1.4,1.4,1.4,0.171,0.3433,0.0971,0.719,,,0.104,0.0758,23.71
iou,1.4,100.0%,1.0,0.171,0.3433,0.0971,0.719,,,0.104,0.0758,23.71
iou_word_sep,1.4,1.4,1.4,0.171,0.3433,0.0971,0.719,,,0.104,0.0758,
iou_word_sep,1.4,100.0%,1.0,0.171,0.3433,0.0971,0.719,,,0.104,0.0758,
window,1.4,1.4,1.4,0.171,0.3433,0.0971,0.719,0.337,0.4496,,,
window,1.4,100.0%,1.0,0.171,0.3433,0.0971,0.719,0.337,0.4496,,,
word,1.4,1.4,1.4,0.171,0.3433,0.0971,0.719,,,0.104,,
word,1.4,100.0%,1.0,0.171,0.3433,0.0971,0.719,,,0.104,,
iou,1.4,20.0%,0.2,0.1709,0.341,0.0971,0.7127,,,0.1443,0.0588,41.94
iou_word_sep,1.4,20.0%,0.2,0.1709,0.341,0.0971,0.7127,,,0.1443,0.0597,
window,1.4,20.0%,0.2,0.1709,0.341,0.0971,0.7127,0.3515,0.4495,,,
word,1.4,20.0%,0.2,0.1709,0.341,0.0971,0.7127,,,0.1443,,
iou,1.4,30.0%,0.3,0.1708,0.339,0.0969,0.7192,,,0.149,0.0578,35.39
iou_word_sep,1.4,30.0%,0.3,0.1708,0.339,0.0969,0.7192,,,0.149,0.0615,
window,1.4,30.0%,0.3,0.1708,0.339,0.0969,0.7192,0.3438,0.4496,,,
word,1.4,30.0%,0.3,0.1708,0.339,0.0969,0.7192,,,0.149,,
iou,1.4,1.15,1.15,0.1707,0.3357,0.0966,0.7337,,,0.1449,0.0788,28.9
iou_word_sep,1.4,1.15,1.15,0.1707,0.3357,0.0966,0.7337,,,0.1449,0.0788,
window,1.4,1.15,1.15,0.1707,0.3357,0.0966,0.7337,0.3425,0.4349,,,
word,1.4,1.15,1.15,0.1707,0.3357,0.0966,0.7337,,,0.1449,,
iou,1.4,1.2,1.2,0.1706,0.3444,0.0969,0.7095,,,0.1441,0.0636,26.28
iou_word_sep,1.4,1.2,1.2,0.1706,0.3444,0.0969,0.7095,,,0.1441,0.0627,
window,1.4,1.2,1.2,0.1706,0.3444,0.0969,0.7095,0.3479,0.471,,,
word,1.4,1.2,1.2,0.1706,0.3444,0.0969,0.7095,,,0.1441,,
iou,1.4,0.7,0.7,0.1702,0.3377,0.0966,0.7179,,,0.137,0.0722,31.81
iou,1.4,50.0%,0.5,0.1702,0.3377,0.0966,0.7179,,,0.137,0.0722,31.81
iou_word_sep,1.4,0.7,0.7,0.1702,0.3377,0.0966,0.7179,,,0.137,0.0656,
iou_word_sep,1.4,50.0%,0.5,0.1702,0.3377,0.0966,0.7179,,,0.137,0.0656,
window,1.4,0.7,0.7,0.1702,0.3377,0.0966,0.7179,0.3403,0.4475,,,
window,1.4,50.0%,0.5,0.1702,0.3377,0.0966,0.7179,0.3403,0.4475,,,
word,1.4,0.7,0.7,0.1702,0.3377,0.0966,0.7179,,,0.137,,
word,1.4,50.0%,0.5,0.1702,0.3377,0.0966,0.7179,,,0.137,,
iou,1.4,90.0%,0.9,0.17,0.3413,0.0966,0.707,,,0.1359,0.0728,25.05
iou_word_sep,1.4,90.0%,0.9,0.17,0.3413,0.0966,0.707,,,0.1359,0.0728,
window,1.4,90.0%,0.9,0.17,0.3413,0.0966,0.707,0.3,0.4449,,,
word,1.4,90.0%,0.9,0.17,0.3413,0.0966,0.707,,,0.1359,,
iou,1.4,1.25,1.25,0.169,0.3416,0.0961,0.6995,,,0.1476,0.063,22.5
iou_word_sep,1.4,1.25,1.25,0.169,0.3416,0.0961,0.6995,,,0.1476,0.061,
window,1.4,1.25,1.25,0.169,0.3416,0.0961,0.6995,0.3191,0.4259,,,
word,1.4,1.25,1.25,0.169,0.3416,0.0961,0.6995,,,0.1476,,
iou,1.4,60.0%,0.6,0.166,0.3375,0.0942,0.6987,,,0.1304,0.0697,31.19
iou_word_sep,1.4,60.0%,0.6,0.166,0.3375,0.0942,0.6987,,,0.1304,0.0663,
window,1.4,60.0%,0.6,0.166,0.3375,0.0942,0.6987,0.3366,0.4468,,,
word,1.4,60.0%,0.6,0.166,0.3375,0.0942,0.6987,,,0.1304,,
iou,1.4,0.95,0.95,0.165,0.3456,0.0935,0.7046,,,0.1408,0.0757,30.71
iou_word_sep,1.4,0.95,0.95,0.165,0.3456,0.0935,0.7046,,,0.1408,0.0727,
window,1.4,0.95,0.95,0.165,0.3456,0.0935,0.7046,0.3899,0.4731,,,
word,1.4,0.95,0.95,0.165,0.3456,0.0935,0.7046,,,0.1408,,
iou,1.5,1.2,1.2,0.1879,0.3498,0.1077,0.7386,,,0.1541,0.0747,28.45
iou,1.5,80.0%,0.8,0.1879,0.3498,0.1077,0.7386,,,0.1541,0.0747,28.45
iou_word_sep,1.5,1.2,1.2,0.1879,0.3498,0.1077,0.7386,,,0.1541,0.0766,
iou_word_sep,1.5,80.0%,0.8,0.1879,0.3498,0.1077,0.7386,,,0.1541,0.0766,
window,1.5,1.2,1.2,0.1879,0.3498,0.1077,0.7386,0.3314,0.4448,,,
window,1.5,80.0%,0.8,0.1879,0.3498,0.1077,0.7386,0.3314,0.4448,,,
word,1.5,1.2,1.2,0.1879,0.3498,0.1077,0.7386,,,0.1541,,
word,1.5,80.0%,0.8,0.1879,0.3498,0.1077,0.7386,,,0.1541,,
iou,1.5,1.4,1.4,0.1852,0.3612,0.1062,0.7203,,,0.1471,0.0676,23.08
iou_word_sep,1.5,1.4,1.4,0.1852,0.3612,0.1062,0.7203,,,0.1471,0.073,
window,1.5,1.4,1.4,0.1852,0.3612,0.1062,0.7203,0.31,0.4275,,,
word,1.5,1.4,1.4,0.1852,0.3612,0.1062,0.7203,,,0.1471,,
iou,1.5,40.0%,0.4,0.1839,0.3471,0.1054,0.7224,,,0.1603,0.0657,34.94
iou_word_sep,1.5,40.0%,0.4,0.1839,0.3471,0.1054,0.7224,,,0.1603,0.0708,
window,1.5,40.0%,0.4,0.1839,0.3471,0.1054,0.7224,0.3306,0.4326,,,
word,1.5,40.0%,0.4,0.1839,0.3471,0.1054,0.7224,,,0.1603,,
iou,1.5,0.8,0.8,0.1838,0.3558,0.1056,0.712,,,0.1414,0.0564,29.47
iou_word_sep,1.5,0.8,0.8,0.1838,0.3558,0.1056,0.712,,,0.1414,0.0524,
window,1.5,0.8,0.8,0.1838,0.3558,0.1056,0.712,0.321,0.4225,,,
word,1.5,0.8,0.8,0.1838,0.3558,0.1056,0.712,,,0.1414,,
iou,1.5,20.0%,0.2,0.1826,0.3501,0.1046,0.7191,,,0.1515,0.0605,43.75
iou_word_sep,1.5,20.0%,0.2,0.1826,0.3501,0.1046,0.7191,,,0.1515,0.064,
window,1.5,20.0%,0.2,0.1826,0.3501,0.1046,0.7191,0.3457,0.443,,,
word,1.5,20.0%,0.2,0.1826,0.3501,0.1046,0.7191,,,0.1515,,
iou,1.5,1.3,1.3,0.1817,0.3355,0.1038,0.7304,,,0.1501,0.0686,25.44
iou_word_sep,1.5,1.3,1.3,0.1817,0.3355,0.1038,0.7304,,,0.1501,0.0706,
window,1.5,1.3,1.3,0.1817,0.3355,0.1038,0.7304,0.3156,0.4122,,,
word,1.5,1.3,1.3,0.1817,0.3355,0.1038,0.7304,,,0.1501,,
iou,1.5,1.15,1.15,0.1816,0.3457,0.1037,0.726,,,0.1414,0.0757,28.93
iou_word_sep,1.5,1.15,1.15,0.1816,0.3457,0.1037,0.726,,,0.1414,0.0766,
window,1.5,1.15,1.15,0.1816,0.3457,0.1037,0.726,0.3417,0.4419,,,
word,1.5,1.15,1.15,0.1816,0.3457,0.1037,0.726,,,0.1414,,
iou,1.5,1.5,1.5,0.1804,0.3573,0.1037,0.6946,,,0.1086,0.0864,24.36
iou,1.5,100.0%,1.0,0.1804,0.3573,0.1037,0.6946,,,0.1086,0.0864,24.36
iou_word_sep,1.5,1.5,1.5,0.1804,0.3573,0.1037,0.6946,,,0.1086,0.0817,
iou_word_sep,1.5,100.0%,1.0,0.1804,0.3573,0.1037,0.6946,,,0.1086,0.0817,
window,1.5,1.5,1.5,0.1804,0.3573,0.1037,0.6946,0.366,0.4655,,,
window,1.5,100.0%,1.0,0.1804,0.3573,0.1037,0.6946,0.366,0.4655,,,
word,1.5,1.5,1.5,0.1804,0.3573,0.1037,0.6946,,,0.1086,,
word,1.5,100.0%,1.0,0.1804,0.3573,0.1037,0.6946,,,0.1086,,
iou,1.5,0.85,0.85,0.1802,0.3454,0.1028,0.7281,,,0.1336,0.077,34.3
iou,1.5,10.0%,0.1,0.1802,0.3499,0.1032,0.7089,,,0.1532,0.0512,57.49
iou_word_sep,1.5,0.85,0.85,0.1802,0.3454,0.1028,0.7281,,,0.1336,0.0735,
iou_word_sep,1.5,10.0%,0.1,0.1802,0.3499,0.1032,0.7089,,,0.1532,0.06,
window,1.5,0.85,0.85,0.1802,0.3454,0.1028,0.7281,0.3569,0.4651,,,
window,1.5,10.0%,0.1,0.1802,0.3499,0.1032,0.7089,0.3484,0.4457,,,
word,1.5,0.85,0.85,0.1802,0.3454,0.1028,0.7281,,,0.1336,,
word,1.5,10.0%,0.1,0.1802,0.3499,0.1032,0.7089,,,0.1532,,
iou,1.5,1.45,1.45,0.1799,0.3468,0.1031,0.7064,,,0.156,0.0808,25.56
iou_word_sep,1.5,1.45,1.45,0.1799,0.3468,0.1031,0.7064,,,0.156,0.0842,
window,1.5,1.45,1.45,0.1799,0.3468,0.1031,0.7064,0.375,0.4733,,,
word,1.5,1.45,1.45,0.1799,0.3468,0.1031,0.7064,,,0.156,,
iou,1.5,1.0,1.0,0.1788,0.3504,0.102,0.7214,,,0.1445,0.0678,29.1
iou_word_sep,1.5,1.0,1.0,0.1788,0.3504,0.102,0.7214,,,0.1445,0.0678,
window,1.5,1.0,1.0,0.1788,0.3504,0.102,0.7214,0.3541,0.4438,,,
word,1.5,1.0,1.0,0.1788,0.3504,0.102,0.7214,,,0.1445,,
iou,1.5,1.35,1.35,0.1787,0.3588,0.1023,0.7056,,,0.1641,0.0884,28.0
iou,1.5,90.0%,0.9,0.1787,0.3588,0.1023,0.7056,,,0.1641,0.0884,28.0
iou_word_sep,1.5,1.35,1.35,0.1787,0.3588,0.1023,0.7056,,,0.1641,0.0916,
iou_word_sep,1.5,90.0%,0.9,0.1787,0.3588,0.1023,0.7056,,,0.1641,0.0916,
window,1.5,1.35,1.35,0.1787,0.3588,0.1023,0.7056,0.3856,0.4843,,,
window,1.5,90.0%,0.9,0.1787,0.3588,0.1023,0.7056,0.3856,0.4843,,,
word,1.5,1.35,1.35,0.1787,0.3588,0.1023,0.7056,,,0.1641,,
word,1.5,90.0%,0.9,0.1787,0.3588,0.1023,0.7056,,,0.1641,,
iou,1.5,1.25,1.25,0.1779,0.3416,0.1019,0.7,,,0.1521,0.0688,24.89
iou_word_sep,1.5,1.25,1.25,0.1779,0.3416,0.1019,0.7,,,0.1521,0.0707,
window,1.5,1.25,1.25,0.1779,0.3416,0.1019,0.7,0.3406,0.4429,,,
word,1.5,1.25,1.25,0.1779,0.3416,0.1019,0.7,,,0.1521,,
iou,1.5,0.75,0.75,0.1778,0.352,0.1019,0.6939,,,0.1426,0.0851,34.05
iou,1.5,50.0%,0.5,0.1778,0.352,0.1019,0.6939,,,0.1426,0.0851,34.05
iou_word_sep,1.5,0.75,0.75,0.1778,0.352,0.1019,0.6939,,,0.1426,0.0805,
iou_word_sep,1.5,50.0%,0.5,0.1778,0.352,0.1019,0.6939,,,0.1426,0.0805,
window,1.5,0.75,0.75,0.1778,0.352,0.1019,0.6939,0.3524,0.4563,,,
window,1.5,50.0%,0.5,0.1778,0.352,0.1019,0.6939,0.3524,0.4563,,,
word,1.5,0.75,0.75,0.1778,0.352,0.1019,0.6939,,,0.1426,,
word,1.5,50.0%,0.5,0.1778,0.352,0.1019,0.6939,,,0.1426,,
iou,1.5,0.95,0.95,0.1776,0.3562,0.1015,0.7095,,,0.1411,0.0759,32.14
iou_word_sep,1.5,0.95,0.95,0.1776,0.3562,0.1015,0.7095,,,0.1411,0.0698,
window,1.5,0.95,0.95,0.1776,0.3562,0.1015,0.7095,0.3695,0.4708,,,
word,1.5,0.95,0.95,0.1776,0.3562,0.1015,0.7095,,,0.1411,,
iou,1.5,0.9,0.9,0.1768,0.3525,0.1015,0.6866,,,0.1456,0.0799,32.31
iou,1.5,60.0%,0.6,0.1768,0.3525,0.1015,0.6866,,,0.1456,0.0799,32.31
iou_word_sep,1.5,0.9,0.9,0.1768,0.3525,0.1015,0.6866,,,0.1456,0.0769,
iou_word_sep,1.5,60.0%,0.6,0.1768,0.3525,0.1015,0.6866,,,0.1456,0.0769,
window,1.5,0.9,0.9,0.1768,0.3525,0.1015,0.6866,0.3707,0.467,,,
window,1.5,60.0%,0.6,0.1768,0.3525,0.1015,0.6866,0.3707,0.467,,,
word,1.5,0.9,0.9,0.1768,0.3525,0.1015,0.6866,,,0.1456,,
word,1.5,60.0%,0.6,0.1768,0.3525,0.1015,0.6866,,,0.1456,,
iou,1.5,1.05,1.05,0.1752,0.3521,0.1006,0.6793,,,0.1433,0.0691,29.57
iou,1.5,70.0%,0.7,0.1752,0.3521,0.1006,0.6793,,,0.1433,0.0691,29.57
iou_word_sep,1.5,1.05,1.05,0.1752,0.3521,0.1006,0.6793,,,0.1433,0.0716,
iou_word_sep,1.5,70.0%,0.7,0.1752,0.3521,0.1006,0.6793,,,0.1433,0.0716,
window,1.5,1.05,1.05,0.1752,0.3521,0.1006,0.6793,0.3468,0.4565,,,
window,1.5,70.0%,0.7,0.1752,0.3521,0.1006,0.6793,0.3468,0.4565,,,
word,1.5,1.05,1.05,0.1752,0.3521,0.1006,0.6793,,,0.1433,,
word,1.5,70.0%,0.7,0.1752,0.3521,0.1006,0.6793,,,0.1433,,
iou,1.5,30.0%,0.3,0.1751,0.3499,0.1002,0.6909,,,0.1662,0.0692,38.13
iou_word_sep,1.5,30.0%,0.3,0.1751,0.3499,0.1002,0.6909,,,0.1662,0.0748,
window,1.5,30.0%,0.3,0.1751,0.3499,0.1002,0.6909,0.3693,0.4674,,,
word,1.5,30.0%,0.3,0.1751,0.3499,0.1002,0.6909,,,0.1662,,
iou,1.5,1.1,1.1,0.1729,0.3487,0.0986,0.7005,,,0.157,0.074,29.26
iou_word_sep,1.5,1.1,1.1,0.1729,0.3487,0.0986,0.7005,,,0.157,0.0749,
window,1.5,1.1,1.1,0.1729,0.3487,0.0986,0.7005,0.3612,0.4638,,,
word,1.5,1.1,1.1,0.1729,0.3487,0.0986,0.7005,,,0.157,,
iou,1.6,1.3,1.3,0.1945,0.3474,0.1122,0.7304,,,0.1517,0.0651,25.52
iou_word_sep,1.6,1.3,1.3,0.1945,0.3474,0.1122,0.7304,,,0.1517,0.0682,
window,1.6,1.3,1.3,0.1945,0.3474,0.1122,0.7304,0.2932,0.4027,,,
word,1.6,1.3,1.3,0.1945,0.3474,0.1122,0.7304,,,0.1517,,
iou,1.6,1.5,1.5,0.1941,0.372,0.1123,0.7126,,,0.1669,0.0729,22.88
iou_word_sep,1.6,1.5,1.5,0.1941,0.372,0.1123,0.7126,,,0.1669,0.0776,
window,1.6,1.5,1.5,0.1941,0.372,0.1123,0.7126,0.3276,0.4315,,,
word,1.6,1.5,1.5,0.1941,0.372,0.1123,0.7126,,,0.1669,,
iou,1.6,1.4,1.4,0.1939,0.3635,0.1123,0.7098,,,0.1509,0.0668,24.13
iou_word_sep,1.6,1.4,1.4,0.1939,0.3635,0.1123,0.7098,,,0.1509,0.0668,
window,1.6,1.4,1.4,0.1939,0.3635,0.1123,0.7098,0.2993,0.4201,,,
word,1.6,1.4,1.4,0.1939,0.3635,0.1123,0.7098,,,0.1509,,
iou,1.6,1.55,1.55,0.1934,0.3715,0.1121,0.705,,,0.1652,0.082,22.69
iou_word_sep,1.6,1.55,1.55,0.1934,0.3715,0.1121,0.705,,,0.1652,0.082,
window,1.6,1.55,1.55,0.1934,0.3715,0.1121,0.705,0.3477,0.4561,,,
word,1.6,1.55,1.55,0.1934,0.3715,0.1121,0.705,,,0.1652,,
iou,1.6,70.0%,0.7,0.1932,0.3621,0.1118,0.7097,,,0.1576,0.0675,28.02
iou_word_sep,1.6,70.0%,0.7,0.1932,0.3621,0.1118,0.7097,,,0.1576,0.0648,
window,1.6,70.0%,0.7,0.1932,0.3621,0.1118,0.7097,0.3253,0.4179,,,
word,1.6,70.0%,0.7,0.1932,0.3621,0.1118,0.7097,,,0.1576,,
iou,1.6,60.0%,0.6,0.1921,0.355,0.1109,0.7193,,,0.1379,0.0674,28.86
iou_word_sep,1.6,60.0%,0.6,0.1921,0.355,0.1109,0.7193,,,0.1379,0.0619,
window,1.6,60.0%,0.6,0.1921,0.355,0.1109,0.7193,0.3149,0.4133,,,
word,1.6,60.0%,0.6,0.1921,0.355,0.1109,0.7193,,,0.1379,,
iou,1.6,1.35,1.35,0.1919,0.3613,0.1107,0.7206,,,0.1524,0.0715,25.01
iou_word_sep,1.6,1.35,1.35,0.1919,0.3613,0.1107,0.7206,,,0.1524,0.0736,
window,1.6,1.35,1.35,0.1919,0.3613,0.1107,0.7206,0.3381,0.4384,,,
word,1.6,1.35,1.35,0.1919,0.3613,0.1107,0.7206,,,0.1524,,
iou,1.6,90.0%,0.9,0.1901,0.358,0.1099,0.7041,,,0.1599,0.0782,24.62
iou_word_sep,1.6,90.0%,0.9,0.1901,0.358,0.1099,0.7041,,,0.1599,0.0782,
window,1.6,90.0%,0.9,0.1901,0.358,0.1099,0.7041,0.3738,0.4591,,,
word,1.6,90.0%,0.9,0.1901,0.358,0.1099,0.7041,,,0.1599,,
iou,1.6,1.25,1.25,0.1899,0.3484,0.1095,0.7143,,,0.1544,0.0645,25.77
iou_word_sep,1.6,1.25,1.25,0.1899,0.3484,0.1095,0.7143,,,0.1544,0.0645,
window,1.6,1.25,1.25,0.1899,0.3484,0.1095,0.7143,0.3278,0.4167,,,
word,1.6,1.25,1.25,0.1899,0.3484,0.1095,0.7143,,,0.1544,,
iou,1.6,0.85,0.85,0.1898,0.3536,0.1093,0.7199,,,0.1479,0.0744,32.05
iou_word_sep,1.6,0.85,0.85,0.1898,0.3536,0.1093,0.7199,,,0.1479,0.071,
window,1.6,0.85,0.85,0.1898,0.3536,0.1093,0.7199,0.3389,0.4577,,,
word,1.6,0.85,0.85,0.1898,0.3536,0.1093,0.7199,,,0.1479,,
iou,1.6,30.0%,0.3,0.1897,0.3563,0.1096,0.7036,,,0.1655,0.0595,34.07
iou_word_sep,1.6,30.0%,0.3,0.1897,0.3563,0.1096,0.7036,,,0.1655,0.0649,
window,1.6,30.0%,0.3,0.1897,0.3563,0.1096,0.7036,0.3204,0.4161,,,
word,1.6,30.0%,0.3,0.1897,0.3563,0.1096,0.7036,,,0.1655,,
iou,1.6,0.9,0.9,0.1896,0.3602,0.1096,0.7022,,,0.1545,0.0743,32.13
iou_word_sep,1.6,0.9,0.9,0.1896,0.3602,0.1096,0.7022,,,0.1545,0.0692,
window,1.6,0.9,0.9,0.1896,0.3602,0.1096,0.7022,0.3474,0.4363,,,
word,1.6,0.9,0.9,0.1896,0.3602,0.1096,0.7022,,,0.1545,,
iou,1.6,40.0%,0.4,0.1881,0.3556,0.1082,0.7195,,,0.1561,0.065,31.74
iou_word_sep,1.6,40.0%,0.4,0.1881,0.3556,0.1082,0.7195,,,0.1561,0.0678,
window,1.6,40.0%,0.4,0.1881,0.3556,0.1082,0.7195,0.317,0.4336,,,
word,1.6,40.0%,0.4,0.1881,0.3556,0.1082,0.7195,,,0.1561,,
iou,1.6,1.15,1.15,0.1879,0.3485,0.1085,0.7015,,,0.1496,0.0766,28.79
iou_word_sep,1.6,1.15,1.15,0.1879,0.3485,0.1085,0.7015,,,0.1496,0.0794,
window,1.6,1.15,1.15,0.1879,0.3485,0.1085,0.7015,0.3265,0.4379,,,
word,1.6,1.15,1.15,0.1879,0.3485,0.1085,0.7015,,,0.1496,,
iou,1.6,80.0%,0.8,0.1878,0.3532,0.108,0.7175,,,0.1465,0.0651,25.54
iou_word_sep,1.6,80.0%,0.8,0.1878,0.3532,0.108,0.7175,,,0.1465,0.0671,
window,1.6,80.0%,0.8,0.1878,0.3532,0.108,0.7175,0.3202,0.4286,,,
word,1.6,80.0%,0.8,0.1878,0.3532,0.108,0.7175,,,0.1465,,
iou,1.6,0.8,0.8,0.1873,0.3603,0.1084,0.688,,,0.149,0.0729,30.07
iou,1.6,50.0%,0.5,0.1873,0.3603,0.1084,0.688,,,0.149,0.0729,30.07
iou_word_sep,1.6,0.8,0.8,0.1873,0.3603,0.1084,0.688,,,0.149,0.0671,
iou_word_sep,1.6,50.0%,0.5,0.1873,0.3603,0.1084,0.688,,,0.149,0.0671,
window,1.6,0.8,0.8,0.1873,0.3603,0.1084,0.688,0.3465,0.4425,,,
window,1.6,50.0%,0.5,0.1873,0.3603,0.1084,0.688,0.3465,0.4425,,,
word,1.6,0.8,0.8,0.1873,0.3603,0.1084,0.688,,,0.149,,
word,1.6,50.0%,0.5,0.1873,0.3603,0.1084,0.688,,,0.149,,
iou,1.6,20.0%,0.2,0.187,0.3512,0.1078,0.7058,,,0.1536,0.0602,41.35
iou_word_sep,1.6,20.0%,0.2,0.187,0.3512,0.1078,0.7058,,,0.1536,0.0602,
window,1.6,20.0%,0.2,0.187,0.3512,0.1078,0.7058,0.3232,0.4291,,,
word,1.6,20.0%,0.2,0.187,0.3512,0.1078,0.7058,,,0.1536,,
iou,1.6,1.05,1.05,0.1868,0.3653,0.108,0.6903,,,0.1478,0.0671,29.1
iou_word_sep,1.6,1.05,1.05,0.1868,0.3653,0.108,0.6903,,,0.1478,0.0688,
window,1.6,1.05,1.05,0.1868,0.3653,0.108,0.6903,0.3111,0.4223,,,
word,1.6,1.05,1.05,0.1868,0.3653,0.108,0.6903,,,0.1478,,
iou,1.6,1.45,1.45,0.1865,0.3545,0.108,0.6858,,,0.1637,0.079,26.1
iou_word_sep,1.6,1.45,1.45,0.1865,0.3545,0.108,0.6858,,,0.1637,0.0835,
window,1.6,1.45,1.45,0.1865,0.3545,0.108,0.6858,0.3754,0.4582,,,
word,1.6,1.45,1.45,0.1865,0.3545,0.108,0.6858,,,0.1637,,
iou,1.6,10.0%,0.1,0.1859,0.3542,0.1073,0.6965,,,0.1548,0.0531,53.47
iou_word_sep,1.6,10.0%,0.1,0.1859,0.3542,0.1073,0.6965,,,0.1548,0.0578,
window,1.6,10.0%,0.1,0.1859,0.3542,0.1073,0.6965,0.3214,0.4224,,,
word,1.6,10.0%,0.1,0.1859,0.3542,0.1073,0.6965,,,0.1548,,
iou,1.6,1.0,1.0,0.1858,0.3572,0.1068,0.7129,,,0.152,0.0715,31.46
iou_word_sep,1.6,1.0,1.0,0.1858,0.3572,0.1068,0.7129,,,0.152,0.0715,
window,1.6,1.0,1.0,0.1858,0.3572,0.1068,0.7129,0.3641,0.4556,,,
word,1.6,1.0,1.0,0.1858,0.3572,0.1068,0.7129,,,0.152,,
iou,1.6,1.6,1.6,0.1854,0.3488,0.107,0.6951,,,0.1131,0.0678,20.8
iou,1.6,100.0%,1.0,0.1854,0.3488,0.107,0.6951,,,0.1131,0.0678,20.8
