Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
window,0.6,0.4,0.4,0.0919,0.2047,0.0485,0.8899,0.4131,0.4848,,,
word,0.6,0.4,0.4,0.0919,0.2047,0.0485,0.8899,,,0.0817,,
iou,0.6,0.5,0.5,0.0898,0.2095,0.0474,0.8643,,,0.0906,0.0385,28.24
iou_word_sep,0.6,0.5,0.5,0.0898,0.2095,0.0474,0.8643,,,0.0906,0.0393,
window,0.6,0.5,0.5,0.0898,0.2095,0.0474,0.8643,0.3977,0.4634,,,
word,0.6,0.5,0.5,0.0898,0.2095,0.0474,0.8643,,,0.0906,,
iou,0.6,20.0%,0.2,0.0889,0.2057,0.0469,0.8673,,,0.0746,0.0319,47.86
iou_word_sep,0.6,20.0%,0.2,0.0889,0.2057,0.0469,0.8673,,,0.0746,0.0352,
window,0.6,20.0%,0.2,0.0889,0.2057,0.0469,0.8673,0.4132,0.4915,,,
word,0.6,20.0%,0.2,0.0889,0.2057,0.0469,0.8673,,,0.0746,,
iou,0.6,40.0%,0.4,0.0888,0.2054,0.0468,0.87,,,0.0808,0.0368,37.89
iou_word_sep,0.6,40.0%,0.4,0.0888,0.2054,0.0468,0.87,,,0.0808,0.04,
window,0.6,40.0%,0.4,0.0888,0.2054,0.0468,0.87,0.4099,0.481,,,
word,0.6,40.0%,0.4,0.0888,0.2054,0.0468,0.87,,,0.0808,,
iou_word_sep,0.6,0.35,0.35,0.0886,0.2071,0.0467,0.861,,,0.0792,0.037,
window,0.6,0.35,0.35,0.0886,0.2071,0.0467,0.861,0.4452,0.5158,,,
word,0.6,0.35,0.35,0.0886,0.2071,0.0467,0.861,,,0.0792,,
iou,0.6,10.0%,0.1,0.0885,0.2059,0.0466,0.8632,,,0.0729,0.0256,62.21
iou_word_sep,0.6,10.0%,0.1,0.0885,0.2059,0.0466,0.8632,,,0.0729,0.031,
window,0.6,10.0%,0.1,0.0885,0.2059,0.0466,0.8632,0.4084,0.4865,,,
word,0.6,10.0%,0.1,0.0885,0.2059,0.0466,0.8632,,,0.0729,,
iou,0.6,80.0%,0.8,0.0884,0.2021,0.0466,0.8606,,,0.0827,0.0422,29.87
iou_word_sep,0.6,80.0%,0.8,0.0884,0.2021,0.0466,0.8606,,,0.0827,0.0433,
window,0.6,80.0%,0.8,0.0884,0.2021,0.0466,0.8606,0.4151,0.481,,,
word,0.6,80.0%,0.8,0.0884,0.2021,0.0466,0.8606,,,0.0827,,
iou,0.6,0.55,0.55,0.0883,0.2099,0.0466,0.8525,,,0.0879,0.0481,30.49
iou_word_sep,0.6,0.55,0.55,0.0883,0.2099,0.0466,0.8525,,,0.0879,0.0477,
window,0.6,0.55,0.55,0.0883,0.2099,0.0466,0.8525,0.4159,0.4956,,,
word,0.6,0.55,0.55,0.0883,0.2099,0.0466,0.8525,,,0.0879,,
iou,0.6,70.0%,0.7,0.0882,0.2095,0.0465,0.8593,,,0.0811,0.0386,31.35
iou_word_sep,0.6,70.0%,0.7,0.0882,0.2095,0.0465,0.8593,,,0.0811,0.0404,
window,0.6,70.0%,0.7,0.0882,0.2095,0.0465,0.8593,0.3952,0.4821,,,
word,0.6,70.0%,0.7,0.0882,0.2095,0.0465,0.8593,,,0.0811,,
iou,0.6,60.0%,0.6,0.0878,0.2039,0.0462,0.8712,,,0.0757,0.0371,33.85
iou_word_sep,0.6,60.0%,0.6,0.0878,0.2039,0.0462,0.8712,,,0.0757,0.0371,
window,0.6,60.0%,0.6,0.0878,0.2039,0.0462,0.8712,0.3993,0.476,,,
word,0.6,60.0%,0.6,0.0878,0.2039,0.0462,0.8712,,,0.0757,,
iou,0.6,0.6,0.6,0.0875,0.2065,0.0461,0.8521,,,0.067,0.0424,27.29
iou,0.6,100.0%,1.0,0.0875,0.2065,0.0461,0.8521,,,0.067,0.0424,27.29
iou,0.6,30.0%,0.3,0.0875,0.2066,0.0461,0.856,,,0.0791,0.0305,39.09
iou_word_sep,0.6,0.6,0.6,0.0875,0.2065,0.0461,0.8521,,,0.067,0.0419,
iou_word_sep,0.6,100.0%,1.0,0.0875,0.2065,0.0461,0.8521,,,0.067,0.0419,
iou_word_sep,0.6,30.0%,0.3,0.0875,0.2066,0.0461,0.856,,,0.0791,0.0371,
window,0.6,0.6,0.6,0.0875,0.2065,0.0461,0.8521,0.4245,0.4887,,,
window,0.6,100.0%,1.0,0.0875,0.2065,0.0461,0.8521,0.4245,0.4887,,,
window,0.6,30.0%,0.3,0.0875,0.2066,0.0461,0.856,0.3931,0.4729,,,
word,0.6,0.6,0.6,0.0875,0.2065,0.0461,0.8521,,,0.067,,
word,0.6,100.0%,1.0,0.0875,0.2065,0.0461,0.8521,,,0.067,,
word,0.6,30.0%,0.3,0.0875,0.2066,0.0461,0.856,,,0.0791,,
