eval_type,window,stride,success,duration_seconds,worker_id,window_f1,word_f1,combined_iou,window_numeric,stride_numeric,stride_percentage
eval_by_0.05,window_1.8s,stride_1.1s,True,237.17180228233337,4,0.1874,0.3949,0.0251,1.8,1.1,61.111111111111114
eval_by_0.05,window_1.8s,stride_1.25s,True,210.66124439239505,1,0.1795,0.3983,0.026,1.8,1.25,69.44444444444444
eval_by_0.05,window_1.8s,stride_1.2s,True,218.0497646331787,2,0.1851,0.4017,0.0251,1.8,1.2,66.66666666666666
eval_by_0.05,window_1.8s,stride_1.35s,True,194.77287340164185,3,0.1943,0.3983,0.0253,1.8,1.35,75.0
eval_by_0.05,window_1.8s,stride_1.3s,True,200.43148040771484,4,0.1778,0.3601,0.0222,1.8,1.3,72.22222222222221
eval_by_0.05,window_1.8s,stride_1.45s,True,181.45323824882507,1,0.1925,0.3565,0.0217,1.8,1.45,80.55555555555554
eval_by_0.05,window_1.8s,stride_1.4s,True,187.344521522522,2,0.1756,0.3457,0.0212,1.8,1.4,77.77777777777777
eval_by_0.05,window_1.8s,stride_1.55s,True,173.66599559783936,3,0.1743,0.3457,0.0225,1.8,1.55,86.11111111111111
eval_by_0.05,window_1.8s,stride_1.5s,True,174.4580135345459,4,0.1806,0.3636,0.0253,1.8,1.5,83.33333333333333
eval_by_0.05,window_1.8s,stride_1.65s,True,156.14824390411377,1,0.1976,0.3457,0.0222,1.8,1.65,91.66666666666666
eval_by_0.05,window_1.8s,stride_1.6s,True,165.61990690231323,2,0.173,0.3274,0.0218,1.8,1.6,88.8888888888889
eval_by_0.05,window_1.8s,stride_1.75s,True,157.96234822273254,3,0.1766,0.3163,0.0224,1.8,1.75,97.22222222222221
eval_by_0.05,window_1.8s,stride_1.7s,True,154.36748790740967,4,0.1622,0.2935,0.0208,1.8,1.7,94.44444444444444
eval_by_0.05,window_1.8s,stride_1.8s,True,139.4300308227539,1,0.1905,0.3274,0.023,1.8,1.8,100.0
eval_by_0.05,window_1.9s,stride_0.95s,True,280.2224667072296,2,0.1726,0.4084,0.0218,1.9,0.95,50.0
eval_by_0.05,window_1.9s,stride_1.05s,True,264.63558745384216,3,0.173,0.4151,0.0235,1.9,1.05,55.26315789473685
eval_by_0.05,window_1.9s,stride_1.0s,True,263.0984501838684,4,0.1685,0.3812,0.0223,1.9,1.0,52.63157894736842
eval_by_0.05,window_1.9s,stride_1.15s,True,223.46426939964292,1,0.1793,0.3707,0.0204,1.9,1.15,60.526315789473685
eval_by_0.05,window_1.9s,stride_1.25s,True,220.71701502799988,3,0.1765,0.3881,0.0243,1.9,1.25,65.78947368421053
eval_by_0.05,window_1.9s,stride_1.1s,True,240.9458224773407,2,0.1684,0.3812,0.0225,1.9,1.1,57.89473684210527
eval_by_0.05,window_1.9s,stride_1.35s,True,210.4689881801605,1,0.1855,0.3742,0.0224,1.9,1.35,71.05263157894738
eval_by_0.05,window_1.9s,stride_1.2s,True,228.54650712013245,4,0.1756,0.3742,0.022,1.9,1.2,63.1578947368421
eval_by_0.05,window_1.9s,stride_1.3s,True,201.56984329223636,2,0.1778,0.3672,0.0237,1.9,1.3,68.42105263157895
eval_by_0.05,window_1.9s,stride_1.45s,True,197.91257095336917,3,0.1628,0.2973,0.0182,1.9,1.45,76.31578947368422
eval_by_0.05,window_1.9s,stride_1.55s,True,191.57396507263184,1,0.1718,0.3348,0.0217,1.9,1.55,81.57894736842107
eval_by_0.05,window_1.9s,stride_1.4s,True,199.8852195739746,4,0.1571,0.3049,0.0172,1.9,1.4,73.68421052631578
eval_by_0.05,window_1.9s,stride_1.5s,True,180.25581645965576,2,0.1711,0.3421,0.0222,1.9,1.5,78.94736842105263
eval_by_0.05,window_1.9s,stride_1.65s,True,178.73871326446533,3,0.197,0.3529,0.0209,1.9,1.65,86.8421052631579
eval_by_0.05,window_1.9s,stride_1.75s,True,172.27820706367493,1,0.1664,0.2896,0.0201,1.9,1.75,92.10526315789474
eval_by_0.05,window_1.9s,stride_1.6s,True,180.8702657222748,4,0.1674,0.3125,0.0205,1.9,1.6,84.21052631578948
eval_by_0.05,window_1.9s,stride_1.7s,True,161.59718585014343,2,0.1438,0.2621,0.0174,1.9,1.7,89.47368421052632
eval_by_0.05,window_1.9s,stride_1.85s,True,162.9415214061737,3,0.2003,0.3348,0.0215,1.9,1.85,97.36842105263159
eval_by_0.05,window_1.9s,stride_1.9s,True,160.30066752433777,1,0.1761,0.2896,0.0185,1.9,1.9,100.0
