eval_type,window_size,stride_value,stride_type,stride_label,success,error,duration,worker_id,combined_mean_iou,binary_f1,multiclass_f1
eval_by_0.05,0.5,0.25,absolute,0.25s,True,,326.5782825946808,3,18.49,0.36,0.34
eval_by_0.05,0.5,0.3,absolute,0.3s,True,,277.4476852416992,1,18.09,0.36,0.34
eval_by_0.05,0.5,0.45,absolute,0.45s,True,,183.41243290901184,2,23.8,0.35,0.33
eval_by_0.05,0.5,0.4,absolute,0.4s,True,,194.80707168579102,3,21.32,0.36,0.34
eval_by_0.05,0.5,0.5,absolute,0.5s,True,,151.19451761245728,4,23.61,0.35,0.34
eval_percent,0.4,100.0,percentage,100.0%,True,,240.18908739089966,2,27.75,0.36,0.35
eval_percent,0.4,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,1,,,
eval_percent,0.4,20.0,percentage,20.0%,False,Process timeout (10 minutes),600.0,3,,,
eval_percent,0.4,30.0,percentage,30.0%,False,Process timeout (10 minutes),600.0,4,,,
eval_percent,0.4,40.0,percentage,40.0%,True,,551.6784172058105,1,22.97,0.37,0.35
eval_percent,0.4,50.0,percentage,50.0%,True,,443.91832208633423,2,22.1,0.37,0.36
eval_percent,0.4,70.0,percentage,70.0%,True,,317.6349103450775,4,25.37,0.36,0.35
eval_percent,0.4,60.0,percentage,60.0%,True,,363.680153131485,3,24.32,0.36,0.34
eval_percent,0.4,80.0,percentage,80.0%,True,,277.40112686157227,1,24.27,0.36,0.34
eval_percent,0.4,90.0,percentage,90.0%,True,,247.6283574104309,2,26.94,0.36,0.35
eval_by_0.05,0.4,0.35,absolute,0.35s,True,,259.4946677684784,1,22.03,0.36,0.35
eval_by_0.05,0.4,0.25,absolute,0.25s,True,,343.81512331962585,3,22.25,0.37,0.35
eval_by_0.05,0.4,0.2,absolute,0.2s,True,,444.0876557826996,4,22.1,0.37,0.36
eval_by_0.05,0.4,0.3,absolute,0.3s,True,,313.037850856781,2,25.84,0.35,0.34
eval_by_0.05,0.4,0.4,absolute,0.4s,True,,242.2208354473114,3,27.75,0.36,0.35
eval_percent,0.3,100.0,percentage,100.0%,True,,256.80089592933655,1,26.29,0.36,0.33
eval_percent,0.3,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,4,,,
eval_percent,0.3,20.0,percentage,20.0%,False,Process timeout (10 minutes),600.0,2,,,
eval_percent,0.3,30.0,percentage,30.0%,False,Process timeout (10 minutes),600.0,3,,,
eval_percent,0.3,40.0,percentage,40.0%,False,Process timeout (10 minutes),600.0,4,,,
